Date,PubID,Footfall,Revenue,Month
2022-03-01,442,95,1292.542172,1
2022-03-01,443,92,926.2498413,1
2022-03-01,444,52,1015.980858,1
2022-03-01,892,114,2360.599026,1
2022-03-01,893,120,2906.259227,1
2022-03-01,894,89,2077.516694,1
2022-03-01,1342,221,4385.767997,1
2022-03-01,1343,150,2721.582453,1
2022-03-01,1344,286,4556.690755,1
2022-03-01,1798,116,2173.412365,1
2022-03-01,1799,109,1484.313914,1
2022-03-01,1800,116,2020.104835,1
2022-03-02,442,93,1519.582414,1
2022-03-02,443,88,993.6329129,1
2022-03-02,444,21,384.7935756,1
2022-03-02,892,110,2644.879961,1
2022-03-02,893,88,2506.803172,1
2022-03-02,894,65,1361.414643,1
2022-03-02,1342,194,4207.839204,1
2022-03-02,1343,148,2682.113807,1
2022-03-02,1344,249,3897.923463,1
2022-03-02,1798,98,2185.919829,1
2022-03-02,1799,102,1588.509132,1
2022-03-02,1800,105,2106.863022,1
2022-03-03,442,92,1520.272506,1
2022-03-03,443,87,1141.233927,1
2022-03-03,444,8,148.8847077,1
2022-03-03,892,83,1875.477977,1
2022-03-03,893,98,2557.50812,1
2022-03-03,894,71,1570.705214,1
2022-03-03,1342,172,3569.180888,1
2022-03-03,1343,116,2157.619347,1
2022-03-03,1344,226,3685.277894,1
2022-03-03,1798,88,2014.663786,1
2022-03-03,1799,90,1407.571329,1
2022-03-03,1800,94,2049.874801,1
2022-03-04,442,70,1093.795698,1
2022-03-04,443,67,731.0528482,1
2022-03-04,444,51,1246.647306,1
2022-03-04,892,86,2183.044722,1
2022-03-04,893,84,2233.491134,1
2022-03-04,894,56,1163.409349,1
2022-03-04,1342,154,3537.365805,1
2022-03-04,1343,111,2272.516963,1
2022-03-04,1344,188,3145.418532,1
2022-03-04,1798,103,2446.652344,1
2022-03-04,1799,94,1469.963675,1
2022-03-04,1800,83,1656.91125,1
2022-03-05,442,110,2689.288224,1
2022-03-05,443,101,2106.523167,1
2022-03-05,444,70,2425.143162,1
2022-03-05,892,133,5002.568261,1
2022-03-05,893,129,5419.245929,1
2022-03-05,894,91,3059.335695,1
2022-03-05,1342,245,8245.99797,1
2022-03-05,1343,173,5344.931831,1
2022-03-05,1344,317,7325.422851,1
2022-03-05,1798,130,4081.281653,1
2022-03-05,1799,133,3326.135972,1
2022-03-05,1800,135,4747.884291,1
2022-03-06,442,92,2094.428986,1
2022-03-06,443,83,1333.222202,1
2022-03-06,444,56,2099.064682,1
2022-03-06,892,75,2599.278582,1
2022-03-06,893,86,3640.862623,1
2022-03-06,894,72,2864.408202,1
2022-03-06,1342,168,5905.821924,1
2022-03-06,1343,113,3387.286959,1
2022-03-06,1344,247,5338.705682,1
2022-03-06,1798,102,3582.907325,1
2022-03-06,1799,95,2642.315859,1
2022-03-06,1800,90,2902.146399,1
2022-03-07,442,45,656.9675106,1
2022-03-07,443,46,586.6605519,1
2022-03-07,444,36,883.8718915,1
2022-03-07,892,58,1479.619201,1
2022-03-07,893,60,1469.206792,1
2022-03-07,894,57,1278.313976,1
2022-03-07,1342,103,2454.474674,1
2022-03-07,1343,80,1833.976445,1
2022-03-07,1344,135,2076.983043,1
2022-03-07,1798,60,1629.818746,1
2022-03-07,1799,54,920.9110288,1
2022-03-07,1800,53,1140.614983,1
2022-03-08,442,58,850.193249,1
2022-03-08,443,59,774.9053234,1
2022-03-08,444,32,640.6236367,1
2022-03-08,892,61,1535.893242,1
2022-03-08,893,60,1811.774369,1
2022-03-08,894,51,1224.965399,1
2022-03-08,1342,125,3086.062973,1
2022-03-08,1343,85,1644.526942,1
2022-03-08,1344,141,2327.81802,1
2022-03-08,1798,62,1647.136773,1
2022-03-08,1799,67,1031.345481,1
2022-03-08,1800,60,1308.177363,1
2022-03-09,442,63,924.0330848,1
2022-03-09,443,64,829.4535242,1
2022-03-09,444,54,1201.5625,1
2022-03-09,892,66,1470.887022,1
2022-03-09,893,63,1654.7127,1
2022-03-09,894,48,1043.375051,1
2022-03-09,1342,135,3377.112058,1
2022-03-09,1343,90,1790.999475,1
2022-03-09,1344,133,2362.535664,1
2022-03-09,1798,70,1589.410017,1
2022-03-09,1799,71,1201.052663,1
2022-03-09,1800,72,1433.21122,1
2022-03-10,442,51,734.257806,1
2022-03-10,443,66,755.1182309,1
2022-03-10,444,44,1080.986857,1
2022-03-10,892,62,1286.541023,1
2022-03-10,893,66,1789.51366,1
2022-03-10,894,43,1059.789998,1
2022-03-10,1342,125,2992.974399,1
2022-03-10,1343,88,1786.614069,1
2022-03-10,1344,155,2736.618276,1
2022-03-10,1798,66,1889.589148,1
2022-03-10,1799,65,980.1837577,1
2022-03-10,1800,65,1523.371689,1
2022-03-11,442,55,922.6529009,1
2022-03-11,443,60,683.9916553,1
2022-03-11,444,35,803.1386346,1
2022-03-11,892,52,1208.921655,1
2022-03-11,893,58,1471.680204,1
2022-03-11,894,39,979.7671323,1
2022-03-11,1342,110,2687.785277,1
2022-03-11,1343,90,1936.594926,1
2022-03-11,1344,154,2510.08565,1
2022-03-11,1798,71,1531.68326,1
2022-03-11,1799,61,977.6880638,1
2022-03-11,1800,58,1351.556456,1
2022-03-12,442,97,2272.472702,1
2022-03-12,443,96,1908.117456,1
2022-03-12,444,50,1774.034686,1
2022-03-12,892,94,3200.828684,1
2022-03-12,893,102,3956.222667,1
2022-03-12,894,78,3275.807805,1
2022-03-12,1342,192,6188.622655,1
2022-03-12,1343,129,3832.844125,1
2022-03-12,1344,253,5900.263572,1
2022-03-12,1798,114,3643.520419,1
2022-03-12,1799,103,2720.306291,1
2022-03-12,1800,107,3901.566686,1
2022-03-13,442,55,1302.203459,1
2022-03-13,443,53,966.3588125,1
2022-03-13,444,38,1330.526015,1
2022-03-13,892,69,2233.497311,1
2022-03-13,893,80,2818.453097,1
2022-03-13,894,68,2336.052105,1
2022-03-13,1342,148,5152.864979,1
2022-03-13,1343,103,2833.848826,1
2022-03-13,1344,216,5301.384215,1
2022-03-13,1798,90,3119.169052,1
2022-03-13,1799,87,1942.273735,1
2022-03-13,1800,91,3173.478375,1
2022-03-14,442,31,563.1150091,1
2022-03-14,443,38,524.6253431,1
2022-03-14,444,37,793.7022798,1
2022-03-14,892,29,697.604069,1
2022-03-14,893,41,899.0853013,1
2022-03-14,894,31,770.4765616,1
2022-03-14,1342,99,2624.155113,1
2022-03-14,1343,48,884.0976838,1
2022-03-14,1344,101,1648.220142,1
2022-03-14,1798,63,1610.576494,1
2022-03-14,1799,59,919.0392585,1
2022-03-14,1800,42,762.1111295,1
2022-03-15,442,57,864.6851794,1
2022-03-15,443,49,669.0176394,1
2022-03-15,444,35,848.2234404,1
2022-03-15,892,45,922.7002359,1
2022-03-15,893,42,1291.12112,1
2022-03-15,894,37,981.8190006,1
2022-03-15,1342,84,1934.828332,1
2022-03-15,1343,66,1281.415393,1
2022-03-15,1344,133,2328.685961,1
2022-03-15,1798,55,1387.36637,1
2022-03-15,1799,49,812.97227,1
2022-03-15,1800,50,984.9605893,1
2022-03-16,442,44,625.2232822,1
2022-03-16,443,46,664.2045629,1
2022-03-16,444,34,712.9690228,1
2022-03-16,892,59,1572.762442,1
2022-03-16,893,53,1633.688697,1
2022-03-16,894,55,1336.792223,1
2022-03-16,1342,103,2707.816996,1
2022-03-16,1343,74,1336.671498,1
2022-03-16,1344,137,2351.252429,1
2022-03-16,1798,61,1358.502992,1
2022-03-16,1799,74,1078.763665,1
2022-03-16,1800,54,1070.868205,1
2022-03-17,442,50,768.0723102,1
2022-03-17,443,54,673.2959297,1
2022-03-17,444,34,739.1811193,1
2022-03-17,892,49,1023.605414,1
2022-03-17,893,57,1514.964916,1
2022-03-17,894,39,957.1965805,1
2022-03-17,1342,111,2338.997709,1
2022-03-17,1343,76,1493.669004,1
2022-03-17,1344,163,2670.654753,1
2022-03-17,1798,56,1454.714252,1
2022-03-17,1799,64,955.2268192,1
2022-03-17,1800,48,935.6275028,1
2022-03-18,442,39,677.6702683,1
2022-03-18,443,44,566.3386732,1
2022-03-18,444,27,574.5691537,1
2022-03-18,892,51,1291.392233,1
2022-03-18,893,48,1276.280648,1
2022-03-18,894,44,993.1042765,1
2022-03-18,1342,91,2039.70027,1
2022-03-18,1343,65,1355.0902,1
2022-03-18,1344,117,1785.354835,1
2022-03-18,1798,61,1566.319314,1
2022-03-18,1799,48,817.9636577,1
2022-03-18,1800,69,1593.969037,1
2022-03-19,442,84,1966.76198,1
2022-03-19,443,77,1276.00007,1
2022-03-19,444,53,1785.568009,1
2022-03-19,892,81,2608.010761,1
2022-03-19,893,83,2989.118533,1
2022-03-19,894,68,2370.933867,1
2022-03-19,1342,189,6355.94642,1
2022-03-19,1343,114,3112.760595,1
2022-03-19,1344,238,5520.105371,1
2022-03-19,1798,83,2640.036977,1
2022-03-19,1799,81,2024.007708,1
2022-03-19,1800,107,3342.741896,1
2022-03-20,442,53,1152.453511,1
2022-03-20,443,52,1031.602739,1
2022-03-20,444,35,1356.738111,1
2022-03-20,892,67,2257.753364,1
2022-03-20,893,73,2807.322743,1
2022-03-20,894,59,2242.692095,1
2022-03-20,1342,123,4478.856571,1
2022-03-20,1343,94,2779.469802,1
2022-03-20,1344,185,4193.023435,1
2022-03-20,1798,67,2054.110403,1
2022-03-20,1799,72,1714.541672,1
2022-03-20,1800,71,2200.425772,1
2022-03-21,442,29,550.0032626,1
2022-03-21,443,25,302.6890359,1
2022-03-21,444,20,598.6842824,1
2022-03-21,892,27,562.7404173,1
2022-03-21,893,37,1022.755907,1
2022-03-21,894,26,573.497201,1
2022-03-21,1342,66,1403.398626,1
2022-03-21,1343,41,845.5061183,1
2022-03-21,1344,88,1388.705754,1
2022-03-21,1798,39,955.3778126,1
2022-03-21,1799,30,443.609581,1
2022-03-21,1800,32,826.7544843,1
2022-03-22,442,31,435.4480034,1
2022-03-22,443,30,428.3638123,1
2022-03-22,444,24,565.132799,1
2022-03-22,892,39,1132.272529,1
2022-03-22,893,38,976.9977827,1
2022-03-22,894,26,677.1165522,1
2022-03-22,1342,68,1628.460874,1
2022-03-22,1343,55,1189.321884,1
2022-03-22,1344,99,1531.048094,1
2022-03-22,1798,49,1151.648783,1
2022-03-22,1799,41,555.915804,1
2022-03-22,1800,39,718.7320362,1
2022-03-23,442,44,678.3603602,1
2022-03-23,443,48,608.5867895,1
2022-03-23,444,25,560.9388636,1
2022-03-23,892,49,1245.790855,1
2022-03-23,893,47,1439.525847,1
2022-03-23,894,43,1031.063841,1
2022-03-23,1342,94,2315.430982,1
2022-03-23,1343,64,1311.236148,1
2022-03-23,1344,107,1689.881314,1
2022-03-23,1798,54,1419.116086,1
2022-03-23,1799,54,864.1339939,1
2022-03-23,1800,41,867.5818662,1
2022-03-24,442,37,528.610413,1
2022-03-24,443,39,505.9078233,1
2022-03-24,444,31,759.1023126,1
2022-03-24,892,45,1119.659382,1
2022-03-24,893,48,1304.724887,1
