Date,RestaurantID,Footfall,Revenue,Month
2022-03-01,445,22,113.3,1
2022-03-01,446,51,212.67,1
2022-03-01,447,83,487.21,1
2022-03-01,448,127,516.89,1
2022-03-01,449,131,669.41,1
2022-03-01,895,157,697.08,1
2022-03-01,896,58,339.88,1
2022-03-01,897,67,385.92,1
2022-03-01,898,51,215.22,1
2022-03-01,899,136,768.4,1
2022-03-01,1345,83,390.1,1
2022-03-01,1346,19,111.15,1
2022-03-01,1347,44,194.04,1
2022-03-01,1348,28,118.44,1
2022-03-01,1349,23,109.71,1
2022-03-01,1801,219,1206.69,1
2022-03-01,1802,87,441.96,1
2022-03-01,1803,45,195.75,1
2022-03-01,1804,37,219.04,1
2022-03-01,1805,170,950.3,1
2022-03-02,445,13,66.95,1
2022-03-02,446,42,175.14,1
2022-03-02,447,71,416.77,1
2022-03-02,448,119,484.33,1
2022-03-02,449,92,470.12,1
2022-03-02,895,127,563.88,1
2022-03-02,896,47,275.42,1
2022-03-02,897,68,391.68,1
2022-03-02,898,40,168.8,1
2022-03-02,899,118,666.7,1
2022-03-02,1345,77,361.9,1
2022-03-02,1346,15,87.75,1
2022-03-02,1347,35,154.35,1
2022-03-02,1348,29,122.67,1
2022-03-02,1349,19,90.63,1
2022-03-02,1801,191,1052.41,1
2022-03-02,1802,75,381,1
2022-03-02,1803,47,204.45,1
2022-03-02,1804,39,230.88,1
2022-03-02,1805,151,844.09,1
2022-03-03,445,18,92.7,1
2022-03-03,446,38,158.46,1
2022-03-03,447,78,457.86,1
2022-03-03,448,107,435.49,1
2022-03-03,449,102,521.22,1
2022-03-03,895,125,555,1
2022-03-03,896,54,316.44,1
2022-03-03,897,69,397.44,1
2022-03-03,898,37,156.14,1
2022-03-03,899,104,587.6,1
2022-03-03,1345,84,394.8,1
2022-03-03,1346,15,87.75,1
2022-03-03,1347,29,127.89,1
2022-03-03,1348,18,76.14,1
2022-03-03,1349,16,76.32,1
2022-03-03,1801,179,986.29,1
2022-03-03,1802,72,365.76,1
2022-03-03,1803,45,195.75,1
2022-03-03,1804,36,213.12,1
2022-03-03,1805,131,732.29,1
2022-03-04,445,18,92.7,1
2022-03-04,446,59,246.03,1
2022-03-04,447,68,399.16,1
2022-03-04,448,111,451.77,1
2022-03-04,449,98,500.78,1
2022-03-04,895,114,506.16,1
2022-03-04,896,57,334.02,1
2022-03-04,897,72,414.72,1
2022-03-04,898,40,168.8,1
2022-03-04,899,96,542.4,1
2022-03-04,1345,95,446.5,1
2022-03-04,1346,17,99.45,1
