employer_id,month_year,average_hourly_rate,turnover,noOfJobs
379,1,16.10881668,4021.391638,2
379,2,16.10881668,3688.127138,2
379,3,16.10881668,3799.215305,2
379,4,16.10881668,3821.432938,2
379,5,16.10881668,3532.603704,2
379,6,16.10881668,3999.174005,2
379,7,16.10881668,3843.650571,2
379,8,16.10881668,3599.256604,2
379,9,16.10881668,3865.868205,2
379,10,16.10881668,3754.780038,2
379,11,16.10881668,3732.562404,2
379,12,16.10881668,3465.950804,2
379,13,16.10881668,3954.738738,2
379,14,16.10881668,3532.603704,2
379,15,16.10881668,2977.16287,2
381,1,18.50215377,13320.65491,4
381,2,18.50215377,12265.92538,4
381,3,18.50215377,12862.51387,4
381,4,18.50215377,12764.86747,4
381,5,18.50215377,12323.39891,4
381,6,18.50215377,13433.44982,4
381,7,18.50215377,12604.75641,4
381,8,18.50215377,12626.94854,4
381,9,18.50215377,12608.54354,4
381,10,18.50215377,12743.91708,4
381,11,18.50215377,12996.09581,4
381,12,18.50215377,11579.28396,4
381,13,18.50215377,13291.29355,4
381,14,18.50215377,11806.72519,4
381,15,18.50215377,10065.17165,4
382,1,15.55925853,14980.34396,9
382,2,15.55925853,13387.76532,9
382,3,15.55925853,13766.50432,9
382,4,15.55925853,13889.16846,9
382,5,15.55925853,13005.038,9
382,6,15.55925853,14520.25923,9
382,7,15.55925853,13754.98958,9
382,8,15.55925853,13171.02075,9
382,9,15.55925853,13808.51499,9
382,10,15.55925853,14089.11818,9
382,11,15.55925853,13940.13734,9
382,12,15.55925853,12598.71301,9
382,13,15.55925853,14434.92995,9
382,14,15.55925853,12689.01218,9
382,15,15.55925853,10624.36455,9
383,1,32.34297177,42015.1414,8
383,2,32.34297177,38439.55612,8
383,3,32.34297177,40209.97644,8
383,4,32.34297177,39951.18378,8
383,5,32.34297177,38085.30455,8
383,6,32.34297177,41863.86807,8
383,7,32.34297177,39286.484,8
383,8,32.34297177,38302.15666,8
383,9,32.34297177,40194.6689,8
383,10,32.34297177,40306.26985,8
383,11,32.34297177,40024.96487,8
