participantId,MonthNumber,Income,Expense,Savings,educationLevel
0,1,11931.947623051652,-1803.0434265876052,10128.904196464047,HighSchoolOrCollege
0,2,8636.88005855322,-1078.2790438130826,7558.601014740138,HighSchoolOrCollege
0,3,9048.160061341468,-1240.6188938975163,7807.541167443952,HighSchoolOrCollege
0,4,9048.160061341468,-1315.647933720256,7732.512127621212,HighSchoolOrCollege
0,5,8636.88005855322,-1932.7509012017158,6704.129157351505,HighSchoolOrCollege
0,6,9459.440064129718,-1168.9743118852548,8290.465752244463,HighSchoolOrCollege
0,7,9048.160061341468,-1143.759008099838,7904.4010532416305,HighSchoolOrCollege
0,8,8636.88005855322,-884.7441621368589,7752.135896416362,HighSchoolOrCollege
0,9,9048.160061341468,-1231.5105069103747,7816.649554431094,HighSchoolOrCollege
0,10,9048.160061341468,-1215.7733630482317,7832.386698293237,HighSchoolOrCollege
0,11,9048.160061341468,-1067.794366678989,7980.36569466248,HighSchoolOrCollege
0,12,8225.600055764971,-1152.0694664582013,7073.53058930677,HighSchoolOrCollege
0,13,9459.440064129718,-999.8263843779349,8459.613679751783,HighSchoolOrCollege
0,14,8225.600055764971,-969.3584482840348,7256.241607480936,HighSchoolOrCollege
0,15,7403.040050188474,-1022.6896119388227,6380.350438249651,HighSchoolOrCollege
1,1,10359.02362974396,-2522.8431566337067,7836.180473110254,HighSchoolOrCollege
1,2,7589.638690895696,-1364.961680578461,6224.677010317235,HighSchoolOrCollege
1,3,7951.050057128824,-1209.6801466292816,6741.369910499542,HighSchoolOrCollege
1,4,7951.050057128824,-1529.3556450516824,6421.694412077141,HighSchoolOrCollege
1,5,7589.638690895696,-1368.7306044141194,6220.908086481576,HighSchoolOrCollege
1,6,8312.461423361952,-1301.9376760332257,7010.523747328727,HighSchoolOrCollege
1,7,7951.050057128824,-1235.9703074399847,6715.079749688839,HighSchoolOrCollege
1,8,7589.638690895696,-1239.735118624588,6349.903572271108,HighSchoolOrCollege
1,9,7951.050057128824,-1478.7653179456524,6472.284739183171,HighSchoolOrCollege
1,10,7951.050057128824,-1954.346954680556,5996.703102448268,HighSchoolOrCollege
1,11,7951.050057128824,-1188.0116462533815,6763.038410875442,HighSchoolOrCollege
1,12,7228.227324662567,-1119.4302652798353,6108.797059382732,HighSchoolOrCollege
1,13,8312.461423361952,-1186.878707673968,7125.582715687984,HighSchoolOrCollege
1,14,7228.227324662567,-1305.5288377912393,5922.698486871328,HighSchoolOrCollege
1,15,6505.404592196311,-1133.338791711974,5372.065800484337,HighSchoolOrCollege
2,1,9722.064448008585,-1860.5202935528428,7861.544154455742,HighSchoolOrCollege
2,2,6651.657930619781,-1200.120522245475,5451.537408374306,HighSchoolOrCollege
2,3,6968.40354636358,-1183.578949815026,5784.824596548554,HighSchoolOrCollege
2,4,6968.40354636358,-1202.767051323303,5765.636495040277,HighSchoolOrCollege
2,5,6651.657930619781,-1245.1524157209788,5406.505514898802,HighSchoolOrCollege
2,6,7285.149162107379,-1301.5632886474,5983.585873459979,HighSchoolOrCollege
2,7,6968.40354636358,-1135.3759795592837,5833.027566804296,HighSchoolOrCollege
2,8,6651.657930619781,-1275.0815318824873,5376.576398737294,HighSchoolOrCollege
2,9,6968.40354636358,-1105.8251394634044,5862.578406900176,HighSchoolOrCollege
2,10,6968.40354636358,-1209.0657527404053,5759.337793623175,HighSchoolOrCollege
2,11,6968.40354636358,-1127.384789015021,5841.018757348559,HighSchoolOrCollege
2,12,6334.912314875982,-1194.634614012451,5140.277700863531,HighSchoolOrCollege
2,13,7285.149162107379,-1198.268818819718,6086.880343287661,HighSchoolOrCollege
2,14,6334.912314875982,-1105.6891857412033,5229.223129134778,HighSchoolOrCollege
2,15,5701.4210833883835,-1018.6562855764404,4682.764797811943,HighSchoolOrCollege
3,1,9407.86416122018,-1931.7923127420281,7476.071848478153,HighSchoolOrCollege
3,2,6428.953178567978,-1195.3552381474822,5233.597940420496,HighSchoolOrCollege
3,3,6735.093806118834,-1663.02162412294,5072.072181995894,HighSchoolOrCollege
3,4,6735.093806118834,-1198.7658713456362,5536.327934773199,HighSchoolOrCollege
3,5,6428.953178567978,-1144.6805627207002,5284.272615847278,HighSchoolOrCollege
3,6,7041.234433669691,-1602.361629909882,5438.872803759808,HighSchoolOrCollege
3,7,6735.093806118834,-1178.3089928702564,5556.784813248578,HighSchoolOrCollege
3,8,6428.953178567978,-1285.489830035552,5143.463348532427,HighSchoolOrCollege
3,9,6735.093806118834,-1166.0776774391636,5569.016128679671,HighSchoolOrCollege
3,10,6735.093806118834,-1135.05928515585,5600.034520962985,HighSchoolOrCollege
3,11,6735.093806118834,-1105.3724360150193,5629.721370103815,HighSchoolOrCollege
3,12,6122.812551017122,-1202.4612569334029,4920.351294083719,HighSchoolOrCollege
3,13,7041.234433669691,-1176.534448483581,5864.699985186109,HighSchoolOrCollege
3,14,6122.812551017122,-1149.4113974543423,4973.40115356278,HighSchoolOrCollege
3,15,5510.53129591541,-1192.4217717408885,4318.1095241745215,HighSchoolOrCollege
4,1,11589.786248191007,-4247.378013980907,7342.4082342101,Bachelors
4,2,8335.18092657219,-1948.8136902015253,6386.367236370665,Bachelors
4,3,8732.094304028007,-1864.0454735163123,6868.048830511695,Bachelors
4,4,8732.094304028007,-1662.4461568461543,7069.648147181853,Bachelors
4,5,8335.18092657219,-1710.5130986082074,6624.667827963982,Bachelors
4,6,9129.007681483827,-1608.6754263025116,7520.332255181315,Bachelors
4,7,8732.094304028007,-1721.997658763189,7010.096645264818,Bachelors
4,8,8335.18092657219,-1826.2011371341648,6508.979789438024,Bachelors
4,9,8732.094304028007,-1683.411612526064,7048.682691501943,Bachelors
4,10,8732.094304028007,-1740.6476991401846,6991.446604887822,Bachelors
4,11,8732.094304028007,-1741.218406448334,6990.875897579674,Bachelors
4,12,7938.267549116371,-1590.6382804708173,6347.629268645554,Bachelors
4,13,9129.007681483827,-1661.6298828495626,7467.377798634264,Bachelors
4,14,7938.267549116371,-1789.8863763679828,6148.381172748388,Bachelors
4,15,7144.440794204734,-1525.4733006584693,5618.967493546264,Bachelors
5,1,4168.920740239827,-2105.4845565028345,2063.4361837369925,HighSchoolOrCollege
5,2,1680.0,-1471.6100246370465,208.38997536295346,HighSchoolOrCollege
5,3,1760.0,-1378.8942201809414,381.1057798190586,HighSchoolOrCollege
5,4,1760.0,-1584.3914434052094,175.60855659479057,HighSchoolOrCollege
5,5,1680.0,-1348.1205924524143,331.87940754758574,HighSchoolOrCollege
5,6,1840.0,-1386.3091495156064,453.69085048439365,HighSchoolOrCollege
5,7,1760.0,-1283.951378396059,476.048621603941,HighSchoolOrCollege
5,8,1680.0,-1265.7754312917627,414.22456870823726,HighSchoolOrCollege
5,9,1760.0,-1183.4657963055126,576.5342036944874,HighSchoolOrCollege
5,10,1760.0,-1514.0058137240646,245.99418627593536,HighSchoolOrCollege
5,11,1760.0,-1459.8320754005433,300.1679245994567,HighSchoolOrCollege
5,12,1600.0,-1269.6396753386725,330.36032466132747,HighSchoolOrCollege
5,13,1840.0,-1297.0468328772615,542.9531671227385,HighSchoolOrCollege
5,14,1600.0,-1201.0347936321498,398.9652063678502,HighSchoolOrCollege
5,15,1440.0,-1238.6476484160605,201.35235158393948,HighSchoolOrCollege
6,1,4045.9635853666946,-2551.683664991261,1494.2799203754334,HighSchoolOrCollege
6,2,1789.7094280721517,-1599.0942390647936,190.61518900735814,HighSchoolOrCollege
6,3,1708.3589995234177,-1590.187572138827,118.17142738459074,HighSchoolOrCollege
6,4,1789.7094280721517,-1377.5415244651872,412.1679036069645,HighSchoolOrCollege
6,5,1871.059856620886,-1669.640592104887,201.41926451599898,HighSchoolOrCollege
6,6,1708.3589995234177,-1672.9555911223665,35.40340840105114,HighSchoolOrCollege
6,7,1789.7094280721517,-1559.4558473080506,230.25358076410112,HighSchoolOrCollege
6,8,1789.7094280721517,-1490.1215420468438,299.58788602530785,HighSchoolOrCollege
6,9,1708.3589995234177,-1553.8157363290757,154.543263194342,HighSchoolOrCollege
6,10,1871.059856620886,-1646.9289034820142,224.13095313887175,HighSchoolOrCollege
6,11,1708.3589995234177,-1266.9659955218965,441.39300400152115,HighSchoolOrCollege
6,12,1627.0085709746834,-1132.9466334850636,494.0619374896198,HighSchoolOrCollege
6,13,1871.059856620886,-1483.6935354518719,387.3663211690141,HighSchoolOrCollege
6,14,1789.7094280721517,-1437.1435934450158,352.5658346271359,HighSchoolOrCollege
6,15,1301.6068567797467,-1239.4244229261226,62.18243385362416,HighSchoolOrCollege
7,1,8916.92817336859,-3538.106256551604,5378.821916816985,Bachelors
7,2,5643.554761121756,-2198.9236864039644,3444.6310747177918,Bachelors
7,3,5912.295464032316,-2120.1692211192017,3792.1262429131143,Bachelors
7,4,5912.295464032316,-2025.2167472792833,3887.0787167530325,Bachelors
7,5,5643.554761121756,-2070.780452499927,3572.7743086218293,Bachelors
7,6,6181.036166942876,-1889.9135504570838,4291.122616485792,Bachelors
7,7,5912.295464032316,-1944.322886777104,3967.972577255212,Bachelors
7,8,5643.554761121756,-1893.0188647477726,3750.5358963739836,Bachelors
7,9,5912.295464032316,-1959.172024498986,3953.12343953333,Bachelors
7,10,5912.295464032316,-1829.0744399134876,4083.2210241188286,Bachelors
7,11,5912.295464032316,-1935.2411896923438,3977.054274339972,Bachelors
7,12,5374.814058211196,-1770.9030230118808,3603.911035199316,Bachelors
7,13,6181.036166942876,-1870.0404960546246,4310.995670888251,Bachelors
7,14,5374.814058211196,-2042.412471646217,3332.4015865649794,Bachelors
7,15,4837.332652390077,-1728.5197602242956,3108.8128921657812,Bachelors
8,1,6595.682497172903,-3533.2087595994713,3062.4737375734317,Bachelors
8,2,3348.50963435861,-2027.7218274088796,1320.7878069497306,Bachelors
8,3,3507.9624740899726,-2152.1862047708164,1355.7762693191562,Bachelors
8,4,3507.9624740899726,-2027.529744473977,1480.4327296159956,Bachelors
8,5,3348.50963435861,-2289.8255612169423,1058.6840731416678,Bachelors
8,6,3667.415313821335,-2091.1560294141536,1576.2592844071814,Bachelors
8,7,3507.9624740899726,-2142.5073753013944,1365.4550987885782,Bachelors
8,8,3348.50963435861,-2049.887788227756,1298.621846130854,Bachelors
8,9,3507.9624740899726,-2123.2850495497605,1384.677424540212,Bachelors
8,10,3507.9624740899726,-2122.725066945353,1385.2374071446197,Bachelors
8,11,3507.9624740899726,-2213.827918367484,1294.1345557224886,Bachelors
8,12,3189.0567946272477,-1995.4593329661793,1193.5974616610683,Bachelors
8,13,3667.415313821335,-2075.216432549587,1592.1988812717482,Bachelors
8,14,3189.0567946272477,-2055.1060549647855,1133.9507396624622,Bachelors
8,15,2870.151115164523,-1970.9379534722152,899.213161692308,Bachelors
9,1,16120.474726767841,-2022.224530676466,14098.250196091376,Bachelors
9,2,12040.121851749433,-1317.1538377530712,10722.968013996362,Bachelors
9,3,12613.460987547025,-1263.6135974394772,11349.847390107549,Bachelors
9,4,12613.460987547025,-1381.4114484959916,11232.049539051033,Bachelors
9,5,12040.121851749433,-1241.2295679061506,10798.892283843283,Bachelors
9,6,13186.800123344618,-1320.1475340184097,11866.652589326208,Bachelors
9,7,12613.460987547025,-1323.7669906918782,11289.693996855147,Bachelors
9,8,12040.121851749433,-1276.376580422312,10763.745271327121,Bachelors
9,9,12613.460987547025,-1344.0693951447129,11269.391592402313,Bachelors
9,10,12613.460987547025,-1368.3988906257468,11245.062096921278,Bachelors
9,11,12613.460987547025,-1280.1227401798267,11333.338247367199,Bachelors
9,12,11466.782715951842,-1236.9231438488803,10229.859572102961,Bachelors
9,13,13186.800123344618,-1426.6719925691968,11760.128130775422,Bachelors
9,14,11466.782715951842,-1312.9926488199835,10153.790067131858,Bachelors
9,15,10320.104444356657,-1124.926402741443,9195.178041615214,Bachelors
10,1,8954.21593782815,-1963.719178361555,6990.496759466596,HighSchoolOrCollege
10,2,6207.3178029404635,-1378.1709375131973,4829.146865427267,HighSchoolOrCollege
10,3,6502.904364985247,-1114.9567279395412,5387.947637045706,HighSchoolOrCollege
10,4,6502.904364985247,-1109.890257162912,5393.014107822335,HighSchoolOrCollege
10,5,6207.3178029404635,-1143.551430356246,5063.766372584218,HighSchoolOrCollege
10,6,6798.490927030031,-1340.567073346157,5457.923853683875,HighSchoolOrCollege
10,7,6502.904364985247,-1118.623499430895,5384.280865554352,HighSchoolOrCollege
10,8,6207.3178029404635,-1265.3817913970395,4941.936011543424,HighSchoolOrCollege
10,9,6502.904364985247,-1222.8334815970154,5280.070883388232,HighSchoolOrCollege
10,10,6502.904364985247,-1260.3071969901216,5242.597167995125,HighSchoolOrCollege
10,11,6502.904364985247,-1199.8049461475448,5303.099418837703,HighSchoolOrCollege
10,12,5911.73124089568,-1169.6457847216593,4742.08545617402,HighSchoolOrCollege
10,13,6798.490927030031,-1173.93077668762,5624.560150342411,HighSchoolOrCollege
10,14,5911.73124089568,-1233.2431029176043,4678.488137978075,HighSchoolOrCollege
10,15,5320.558116806112,-1046.590477311883,4273.967639494229,HighSchoolOrCollege
11,1,9040.31462970527,-2401.5469974067214,6638.767632298548,HighSchoolOrCollege
11,2,6580.863957462285,-1198.4209041309125,5382.4430533313725,HighSchoolOrCollege
11,3,6580.863957462285,-1092.7904727154823,5488.073484746803,HighSchoolOrCollege
11,4,6281.733777577635,-1421.5380375994077,4860.195739978228,HighSchoolOrCollege
11,5,6879.994137346934,-1280.6531090782394,5599.341028268695,HighSchoolOrCollege
11,6,6580.863957462285,-1458.2883024527482,5122.575655009537,HighSchoolOrCollege
11,7,6281.733777577635,-1464.3602197640266,4817.373557813608,HighSchoolOrCollege
11,8,6580.863957462285,-1286.3670923496063,5294.496865112678,HighSchoolOrCollege
11,9,6580.863957462285,-1262.2032815999205,5318.660675862364,HighSchoolOrCollege
11,10,6580.863957462284,-1249.5529012799047,5331.31105618238,HighSchoolOrCollege
11,11,6580.863957462285,-1358.0720250504003,5222.791932411885,HighSchoolOrCollege
11,12,5982.603597692986,-1182.64378433158,4799.959813361406,HighSchoolOrCollege
11,13,6580.863957462284,-1259.2962663080207,5321.567691154263,HighSchoolOrCollege
11,14,6580.863957462285,-1336.854403889688,5244.009553572597,HighSchoolOrCollege
11,15,5085.213058039038,-1323.4762763308227,3761.736781708215,HighSchoolOrCollege
12,1,8426.48254216471,-2201.3008239580126,6225.181718206697,HighSchoolOrCollege
12,2,6279.758241154289,-1470.4141770463036,4809.344064107985,HighSchoolOrCollege
12,3,6279.758241154289,-1452.3921387283724,4827.366102425916,HighSchoolOrCollege
12,4,5994.314684738185,-1478.3192484137803,4515.995436324405,HighSchoolOrCollege
12,5,6565.201797570393,-1621.6851501503027,4943.5166474200905,HighSchoolOrCollege
12,6,5994.314684738185,-1520.4026557779289,4473.912028960256,HighSchoolOrCollege
12,7,6279.758241154289,-1413.7206330041206,4866.037608150168,HighSchoolOrCollege
12,8,6279.758241154289,-1242.546804434994,5037.211436719295,HighSchoolOrCollege
12,9,5994.314684738185,-1154.5575476556928,4839.757137082492,HighSchoolOrCollege
12,10,6565.201797570393,-1323.5712454561826,5241.63055211421,HighSchoolOrCollege
12,11,6279.758241154289,-1519.4513369181145,4760.306904236175,HighSchoolOrCollege
12,12,5708.871128322081,-1217.8207721868998,4491.050356135182,HighSchoolOrCollege
12,13,6279.758241154289,-1350.3731638165934,4929.385077337695,HighSchoolOrCollege
12,14,6279.758241154289,-1243.3158685885517,5036.442372565737,HighSchoolOrCollege
12,15,4567.096902657665,-925.6941266705181,3641.402775987147,HighSchoolOrCollege
13,1,8667.562751077,-3839.511581943568,4828.05116913343,Bachelors
13,2,5414.627793912879,-2330.8679384063557,3083.759855506523,Bachelors
13,3,5672.467212670635,-2463.62904427581,3208.8381683948246,Bachelors
13,4,5672.467212670635,-2287.5838238346155,3384.883388836019,Bachelors
13,5,5414.627793912879,-2334.6762478061682,3079.9515461067103,Bachelors
13,6,5930.306631428391,-2396.571327216006,3533.7353042123846,Bachelors
13,7,5414.627793912879,-2312.415862931617,3102.2119309812615,Bachelors
13,8,5672.467212670635,-2205.3087954612674,3467.158417209367,Bachelors
13,9,5672.467212670635,-2083.5928362898676,3588.874376380767,Bachelors
13,10,5672.467212670635,-2087.45194526183,3585.0152674088044,Bachelors
13,11,5672.467212670635,-2260.743604750183,3411.7236079204517,Bachelors
13,12,5156.788375155122,-2264.0277109484887,2892.760664206633,Bachelors
13,13,5672.467212670635,-2412.2869526867735,3260.180259983861,Bachelors
13,14,5414.627793912879,-2301.647739078163,3112.9800548347157,Bachelors
13,15,4641.10953763961,-1994.7772718164358,2646.3322658231737,Bachelors
14,1,11275.012946946894,-3521.17291017801,7753.840036768884,Graduate
14,2,6700.6849286986535,-2020.6718908650728,4680.013037833581,Graduate
14,3,7019.76516339859,-2084.6597106321265,4935.105452766464,Graduate
14,4,7019.76516339859,-1910.4187100420588,5109.346453356531,Graduate
14,5,6700.6849286986535,-2041.8410929725396,4658.843835726114,Graduate
14,6,7338.845398098525,-1958.894322713143,5379.951075385382,Graduate
14,7,7019.76516339859,-1981.1574923971234,5038.607671001466,Graduate
14,8,6700.6849286986535,-1958.1144496935244,4742.5704790051295,Graduate
14,9,7019.76516339859,-1952.9337748881103,5066.83138851048,Graduate
14,10,7019.76516339859,-1965.2525479534193,5054.51261544517,Graduate
14,11,7019.76516339859,-2004.2854118677878,5015.479751530802,Graduate
14,12,6381.604693998718,-1844.2130319286757,4537.391662070042,Graduate
14,13,7338.845398098525,-1886.9883753514166,5451.857022747108,Graduate
14,14,6381.604693998718,-1933.7799019326796,4447.824792066039,Graduate
14,15,5743.444224598846,-1840.347799382406,3903.0964252164395,Graduate
15,1,8495.098791426286,-1925.3407548585337,6569.758036567752,HighSchoolOrCollege
15,2,6199.097289684933,-1399.8229119012326,4799.2743777837,HighSchoolOrCollege
